Team_i,Team_j,home_i,home_j,score_i,score_j,date,
belarus,poland,1,0,1,4,31 August 2018,
poland,switzerland,1,0,0,0,4 September 2018,
albania,scotland,1,0,1,2,4 September 2018,
norway,northern ireland,1,0,4,1,15 September 2017,
norway,slovakia,1,0,6,1,19 September 2017,
northern ireland,ireland,1,0,0,2,19 September 2017,
slovakia,ireland,1,0,0,2,24 October 2017,
netherlands,norway,1,0,1,0,24 October 2017,
slovakia,netherlands,1,0,0,5,24 November 2017,
slovakia,northern ireland,1,0,1,3,28 November 2017,
netherlands,ireland,1,0,0,0,28 November 2017,
ireland,slovakia,1,0,2,1,6 April 2018,
netherlands,northern ireland,1,0,7,0,6 April 2018,
ireland,netherlands,1,0,0,2,10 April 2018,
northern ireland,norway,1,0,0,3,10 April 2018,
ireland,norway,1,0,0,2,8 June 2018,
northern ireland,netherlands,1,0,0,5,8 June 2018,
norway,ireland,1,0,1,0,12 June 2018,
netherlands,slovakia,1,0,1,0,12 June 2018,
ireland,northern ireland,1,0,4,0,31 August 2018,
slovakia,norway,1,0,0,4,31 August 2018,
norway,netherlands,1,0,2,1,4 September 2018,
northern ireland,slovakia,1,0,0,1,4 September 2018,
netherlands,denmark,1,0,2,0,5 October 2018,
denmark,netherlands,1,0,1,2,9 October 2018,
belgium,switzerland,1,0,2,2,5 October 2018,
switzerland,belgium,1,0,1,1,9 October 2018,
netherlands,switzerland,1,0,3,0,9 November 2018,
switzerland,netherlands,1,0,1,1,13 November 2018,
ukraine,croatia,1,0,1,1,15 September 2017,
hungary,denmark,1,0,1,6,19 September 2017,
croatia,sweden,1,0,0,2,19 September 2017,
hungary,croatia,1,0,2,2,19 October 2017,
sweden,denmark,1,0,3,0,20 October 2017,
croatia,denmark,1,0,0,4,20 October 2017,
sweden,hungary,1,0,5,0,24 October 2017,
hungary,ukraine,1,0,0,1,24 November 2017,
croatia,ukraine,1,0,0,3,5 April 2018,
hungary,sweden,1,0,1,4,5 April 2018,
croatia,hungary,1,0,1,3,9 April 2018,
denmark,ukraine,1,0,1,0,9 April 2018,
sweden,croatia,1,0,4,0,7 June 2018,
ukraine,denmark,1,0,1,5,8 June 2018,
denmark,hungary,1,0,5,1,12 June 2018,
ukraine,sweden,1,0,1,0,12 June 2018,
sweden,ukraine,1,0,3,0,30 August 2018,
denmark,croatia,1,0,1,1,30 August 2018,
denmark,sweden,1,0,0,1,4 September 2018,
ukraine,hungary,1,0,2,0,4 September 2018,
faroe islands,czech republic,1,0,0,8,14 September 2017,
germany,slovenia,1,0,6,0,16 September 2017,
iceland,faroe islands,1,0,8,0,18 September 2017,
czech republic,germany,1,0,0,1,19 September 2017,
germany,iceland,1,0,2,3,20 October 2017,
slovenia,czech republic,1,0,0,4,20 October 2017,
germany,faroe islands,1,0,11,0,24 October 2017,
czech republic,iceland,1,0,1,1,24 October 2017,
slovenia,faroe islands,1,0,5,0,24 November 2017,
slovenia,iceland,1,0,0,2,6 April 2018,
germany,czech republic,1,0,4,0,7 April 2018,
slovenia,germany,1,0,0,4,10 April 2018,
faroe islands,iceland,1,0,0,5,10 April 2018,
faroe islands,slovenia,1,0,0,4,7 June 2018,
iceland,slovenia,1,0,2,0,11 June 2018,
czech republic,faroe islands,1,0,4,1,12 June 2018,
czech republic,slovenia,1,0,2,0,31 August 2018,
iceland,germany,1,0,0,2,1 September 2018,
iceland,czech republic,1,0,1,1,4 September 2018,
faroe islands,germany,1,0,0,8,4 September 2018,
italy,moldova,1,0,5,0,15 September 2017,
romania,italy,1,0,0,1,19 September 2017,
belgium,moldova,1,0,12,0,19 September 2017,
belgium,romania,1,0,3,2,20 October 2017,
italy,romania,1,0,3,0,24 October 2017,
portugal,belgium,1,0,0,1,24 October 2017,
portugal,moldova,1,0,8,0,24 November 2017,
romania,moldova,1,0,3,1,28 November 2017,
portugal,italy,1,0,0,1,28 November 2017,
moldova,italy,1,0,1,3,6 April 2018,
belgium,portugal,1,0,1,1,6 April 2018,
italy,belgium,1,0,2,1,10 April 2018,
moldova,romania,1,0,0,0,10 April 2018,
italy,portugal,1,0,3,0,8 June 2018,
moldova,belgium,1,0,0,7,10 June 2018,
romania,portugal,1,0,1,1,12 June 2018,
moldova,portugal,1,0,0,7,30 August 2018,
romania,belgium,1,0,0,1,31 August 2018,
belgium,italy,1,0,2,1,4 September 2018,
portugal,romania,1,0,5,1,4 September 2018,
serbia,austria,1,0,0,4,19 September 2017,
serbia,israel,1,0,2,0,19 October 2017,
finland,serbia,1,0,1,0,22 October 2017,
israel,spain,1,0,0,6,23 October 2017,
austria,israel,1,0,2,0,23 November 2017,
serbia,spain,1,0,1,2,24 November 2017,
finland,israel,1,0,4,0,26 November 2017,
spain,austria,1,0,4,0,28 November 2017,
israel,finland,1,0,0,0,22 January 2018,
austria,serbia,1,0,1,1,5 April 2018,
finland,spain,1,0,0,2,6 April 2018,
israel,serbia,1,0,0,1,10 April 2018,
austria,spain,1,0,0,1,10 April 2018,
