,ingredient,title
377,ovo,Filé à parmegiana
378,sal,Filé à parmegiana
379,farinha,Filé à parmegiana
380,tomate,Filé à parmegiana
381,acucar,Filé à parmegiana
382,mussarela,Filé à parmegiana
383,camarao,Bobó de camarão
384,sal,Bobó de camarão
385,alho,Bobó de camarão
386,suco,Bobó de camarão
387,mandioca,Bobó de camarão
388,cebola,Bobó de camarão
389,louro,Bobó de camarão
390,azeite,Bobó de camarão
391,leite,Bobó de camarão
392,tomate,Bobó de camarão
393,pimentao,Bobó de camarão
394,azeite,Bobó de camarão
395,cebola,"Acarajé, vatapá e caruru"
396,feijao,"Acarajé, vatapá e caruru"
397,sal,"Acarajé, vatapá e caruru"
398,castanha,"Acarajé, vatapá e caruru"
399,torrado,"Acarajé, vatapá e caruru"
400,camarao,"Acarajé, vatapá e caruru"
401,sal,"Acarajé, vatapá e caruru"
402,azeite,"Acarajé, vatapá e caruru"
403,tomate,"Acarajé, vatapá e caruru"
404,cebola,"Acarajé, vatapá e caruru"
405,salsa,"Acarajé, vatapá e caruru"
406,pimentao,"Acarajé, vatapá e caruru"
407,camarao,"Acarajé, vatapá e caruru"
408,leite,"Acarajé, vatapá e caruru"
409,leite,"Acarajé, vatapá e caruru"
410,quiabo,"Acarajé, vatapá e caruru"
411,castanha,"Acarajé, vatapá e caruru"
412,torrado,"Acarajé, vatapá e caruru"
413,camarao,"Acarajé, vatapá e caruru"
414,mandioca,"Acarajé, vatapá e caruru"
415,azeite,"Acarajé, vatapá e caruru"
416,tomate,"Acarajé, vatapá e caruru"
417,cebola,"Acarajé, vatapá e caruru"
418,salsa,"Acarajé, vatapá e caruru"
419,pimentao,"Acarajé, vatapá e caruru"
420,camarao,"Acarajé, vatapá e caruru"
421,leite,"Acarajé, vatapá e caruru"
422,azeite,"Acarajé, vatapá e caruru"
423,feijao,Baião de dois
424,paio,Baião de dois
425,carne,Baião de dois
426,cebola,Baião de dois
427,alho,Baião de dois
428,oleo,Baião de dois
429,arroz,Baião de dois
430,arroz,Paella Valenciana
431,camarao,Paella Valenciana
432,camarao,Paella Valenciana
433,frango,Paella Valenciana
434,cebola,Paella Valenciana
435,tomate,Paella Valenciana
436,pimentao,Paella Valenciana
437,alho,Paella Valenciana
438,camarao,Paella Valenciana
439,acafrao,Paella Valenciana
440,ervilha,Paella Valenciana
441,azeite,Paella Valenciana
442,carne,Lasanha de carne moída
443,leite,Lasanha de carne moída
444,manteiga,Lasanha de carne moída
445,trigo,Lasanha de carne moída
446,presunto,Lasanha de carne moída
447,mussarela,Lasanha de carne moída
448,sal,Lasanha de carne moída
449,leite,Lasanha de carne moída
450,cebola,Lasanha de carne moída
451,oleo,Lasanha de carne moída
452,tomate,Lasanha de carne moída
453,alho,Lasanha de carne moída
454,cebola,Canja de galinha rápida
455,alho,Canja de galinha rápida
456,cenoura,Canja de galinha rápida
457,frango,Canja de galinha rápida
458,arroz,Canja de galinha rápida
459,salsinha,Canja de galinha rápida
460,oleo,Canja de galinha rápida
461,bacon,Burrito rápido e fácil
462,cebola,Burrito rápido e fácil
463,carne,Burrito rápido e fácil
464,feijao,Burrito rápido e fácil
465,dorito,Burrito rápido e fácil
466,pimenta,Burrito rápido e fácil
467,leite,Burrito rápido e fácil
468,tomate,Guacamole
469,cebola,Guacamole
470,alho,Guacamole
471,coentro,Guacamole
472,pimenta,Guacamole
473,suco,Guacamole
474,azeite,Guacamole
475,sal,Guacamole
476,cebola,Ceviche tradicional
477,pimenta,Ceviche tradicional
478,limao,Ceviche tradicional
479,sal,Ceviche tradicional
480,leite,Biscoito de polvilho azedo
481,oleo,Biscoito de polvilho azedo
482,ovo,Biscoito de polvilho azedo
483,sal,Biscoito de polvilho azedo
484,trigo,Empadão de frango delicioso
485,manteiga,Empadão de frango delicioso
486,ovo,Empadão de frango delicioso
487,ovo,Empadão de frango delicioso
488,sal,Empadão de frango delicioso
489,leite,Empadão de frango delicioso
490,ovo,Empadão de frango delicioso
491,frango,Empadão de frango delicioso
492,cebola,Empadão de frango delicioso
493,alho,Empadão de frango delicioso
494,tomate,Empadão de frango delicioso
495,azeite,Empadão de frango delicioso
496,milho,Empadão de frango delicioso
497,tomate,Empadão de frango delicioso
498,trigo,Empadão de frango delicioso
499,frango,Empadão de frango delicioso
500,azeitona,Empadão de frango delicioso
501,cenoura,Sopa de legumes com carne
502,batata,Sopa de legumes com carne
503,couve,Sopa de legumes com carne
504,legume,Sopa de legumes com carne
505,cebola,Sopa de legumes com carne
506,alho,Sopa de legumes com carne
507,sal,Sopa de legumes com carne
508,cebola,Sopa de legumes com carne
509,macarrao,Sopa de legumes com carne
510,leite,Coxinha prática deliciosa
511,bacon,Coxinha prática deliciosa
512,batata,Coxinha prática deliciosa
513,manteiga,Coxinha prática deliciosa
514,trigo,Coxinha prática deliciosa
515,margarina,Coxinha prática deliciosa
516,farinha,Coxinha prática deliciosa
517,ovo,Coxinha prática deliciosa
518,oleo,Coxinha prática deliciosa
519,frango,Coxinha prática deliciosa
520,requeijao,Coxinha prática deliciosa
521,azeite,Coxinha prática deliciosa
522,cebola,Coxinha prática deliciosa
523,alho,Coxinha prática deliciosa
524,palmito,Estrogonofe especial de palmito
525,leite,Estrogonofe especial de palmito
526,tomate,Estrogonofe especial de palmito
527,ketchup,Estrogonofe especial de palmito
528,mostarda,Estrogonofe especial de palmito
529,cebola,Estrogonofe especial de palmito
530,alho,Estrogonofe especial de palmito
531,azeite,Estrogonofe especial de palmito
532,sal,Estrogonofe especial de palmito
533,frango,Frango xadrez
534,shoyu,Frango xadrez
535,tomate,Frango xadrez
536,pimentao,Frango xadrez
537,cebola,Frango xadrez
538,trigo,Frango xadrez
539,sal,Frango xadrez
540,oleo,Frango xadrez
541,gergelim,Frango xadrez
542,badejo,Peixe à Belle Meunière
543,camarao,Peixe à Belle Meunière
544,alcaparra,Peixe à Belle Meunière
545,champignon,Peixe à Belle Meunière
546,alho,Peixe à Belle Meunière
547,azeite,Peixe à Belle Meunière
548,sal,Peixe à Belle Meunière
549,sal,Salmão ao champignon
550,alho,Salmão ao champignon
551,pimenta,Salmão ao champignon
552,suco,Salmão ao champignon
553,manteiga,Salmão ao champignon
554,cogumelo,Salmão ao champignon
555,leite,Salmão ao champignon
556,sal,Salmão ao champignon
