,address,living_area,price,rooms,url
34,Lizzy Ansinghstraat 103 1072 RE Amsterdam,125.0,729.0,5.0,https://www.funda.nl/en/koop/amsterdam/appartement-40081237-lizzy-ansinghstraat-103/?navigateSource=resultlist
35,Murdoch Mackenziestraat 14 1086 WH Amsterdam,147.0,729.0,6.0,https://www.funda.nl/en/koop/amsterdam/appartement-40080520-murdoch-mackenziestraat-14/?navigateSource=resultlist
36,Marco Polostraat 265 H 1056 DM Amsterdam,73.0,495.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-86441036-marco-polostraat-265-h/?navigateSource=resultlist
37,Marco Polostraat 106 II 1057 WV Amsterdam,97.0,495.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40085290-marco-polostraat-106-ii/?navigateSource=resultlist
38,Bos en Lommerplantsoen 39 H 1055 AA Amsterdam,30.0,190.0,1.0,https://www.funda.nl/en/koop/amsterdam/appartement-40074836-bos-en-lommerplantsoen-39-h/?navigateSource=resultlist
39,Cabralstraat 21 II 1057 CD Amsterdam,48.0,295.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-86432306-cabralstraat-21-ii/?navigateSource=resultlist
40,Nassaukade 147 -A 1052 EH Amsterdam,161.0,925.0,6.0,https://www.funda.nl/en/koop/amsterdam/appartement-40075372-nassaukade-147-a/?navigateSource=resultlist
41,Van Hilligaertstraat 224 1072 PM Amsterdam,51.0,399.5,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-86413596-van-hilligaertstraat-224/?navigateSource=resultlist
42,Zeeburgerdijk 716 1095 LG Amsterdam,127.0,500.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40918108-zeeburgerdijk-716/?navigateSource=resultlist
43,Admiralengracht 119 G 1057 ET Amsterdam,107.0,610.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40832702-admiralengracht-119-g/?navigateSource=resultlist
44,Weerdestein 124 1083 GH Amsterdam,135.0,645.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40824596-weerdestein-124/?navigateSource=resultlist
45,Meerhuizenstraat 14 J 1078 TH Amsterdam,97.0,542.5,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40814434-meerhuizenstraat-14-j/?navigateSource=resultlist
46,Tweede Goudsbloemdwarsstraat 28 1015 JZ Amsterdam,93.0,899.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40000646-tweede-goudsbloemdwarsstraat-28/?navigateSource=resultlist
47,Galileïplantsoen 22 1098 NA Amsterdam,137.0,900.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40008012-galileiplantsoen-22/?navigateSource=resultlist
48,Wenslauerstraat 57 1053 AW Amsterdam,147.0,750.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40092807-wenslauerstraat-57/?navigateSource=resultlist
49,Zwanebloemlaan 214 1087 GD Amsterdam,175.0,695.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40090128-zwanebloemlaan-214/?navigateSource=resultlist
50,Vegastraat 194 1033 JB Amsterdam,96.0,375.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40090622-vegastraat-194/?navigateSource=resultlist
51,Vrijburg 79 1068 PP Amsterdam,95.0,279.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40099860-vrijburg-79/?navigateSource=resultlist
52,Cornelis van Alkemadestraat 36 1065 AC Amsterdam,142.0,525.0,9.0,https://www.funda.nl/en/koop/amsterdam/huis-40095328-cornelis-van-alkemadestraat-36/?navigateSource=resultlist
53,Aldebaranplein 27 1033 GR Amsterdam,57.0,315.0,3.0,https://www.funda.nl/en/koop/amsterdam/huis-40084120-aldebaranplein-27/?navigateSource=resultlist
54,IJburglaan 1602 1087 MA Amsterdam,149.0,775.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40083940-ijburglaan-1602/?navigateSource=resultlist
55,Buiksloterbreek 17 1034 XC Amsterdam,92.0,450.0,3.0,https://www.funda.nl/en/koop/amsterdam/huis-40082499-buiksloterbreek-17/?navigateSource=resultlist
56,Purmerweg 78 1023 BB Amsterdam,65.0,350.0,4.0,https://www.funda.nl/en/koop/amsterdam/huis-40080786-purmerweg-78/?navigateSource=resultlist
57,Brigantijnkade 8 1086 VB Amsterdam,151.0,645.0,7.0,https://www.funda.nl/en/koop/amsterdam/huis-86449298-brigantijnkade-8/?navigateSource=resultlist
58,Doggerstraat 50 hs 1086 VG Amsterdam,161.0,595.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40078049-doggerstraat-50-hs/?navigateSource=resultlist
59,Buiksloterbreek 51 1034 XD Amsterdam,117.0,600.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40076952-buiksloterbreek-51/?navigateSource=resultlist
60,Frederik van Dorpstraat 28 1067 AE Amsterdam,100.0,385.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40064419-frederik-van-dorpstraat-28/?navigateSource=resultlist
61,Boas en Judelshof 13 1068 WB Amsterdam,74.0,350.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40063114-boas-en-judelshof-13/?navigateSource=resultlist
62,Potvisstraat 26 1035 HK Amsterdam,90.0,300.0,3.0,https://www.funda.nl/en/koop/amsterdam/huis-40062117-potvisstraat-26/?navigateSource=resultlist
63,Govert Flinckstraat 416 1074 CJ Amsterdam,187.0,1500.0,8.0,https://www.funda.nl/en/koop/amsterdam/huis-40062840-govert-flinckstraat-416/?navigateSource=resultlist
64,H.T. Zwiersplantsoen 31 1064 DL Amsterdam,115.0,600.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40057789-ht-zwiersplantsoen-31/?navigateSource=resultlist
65,Hilverbeekstraat 32 1024 KL Amsterdam,285.0,1450.0,9.0,https://www.funda.nl/en/koop/amsterdam/huis-40912364-hilverbeekstraat-32/?navigateSource=resultlist
66,Prinsengracht 813 1017 KA Amsterdam,303.0,3250.0,10.0,https://www.funda.nl/en/koop/amsterdam/huis-40902233-prinsengracht-813/?navigateSource=resultlist
67,Jan Vrijmanstraat 122 1087 MP Amsterdam,145.0,635.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40997594-jan-vrijmanstraat-122/?navigateSource=resultlist
68,Lisdoddelaan 51 1087 KB Amsterdam,310.0,1500.0,7.0,https://www.funda.nl/en/koop/amsterdam/huis-40989753-lisdoddelaan-51/?navigateSource=resultlist
69,Hoogte Kadijk 147 -A 1018 BJ Amsterdam,134.0,998.0,5.0,https://www.funda.nl/en/koop/amsterdam/huis-40837707-hoogte-kadijk-147-a/?navigateSource=resultlist
70,Durgerdammergouw 2 A 1028 BT Amsterdam,209.0,1250.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40813888-durgerdammergouw-2-a/?navigateSource=resultlist
71,Zuideinde 406 1035 PR Amsterdam,120.0,700.0,6.0,https://www.funda.nl/en/koop/amsterdam/huis-40889742-zuideinde-406/?navigateSource=resultlist
72,Merlijnstraat 14 Hs 1055 DE Amsterdam,56.0,355.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40000295-merlijnstraat-14-hs/?navigateSource=resultlist
73,Bert Haanstrahof 28 1087 DL Amsterdam,98.0,410.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40000501-bert-haanstrahof-28/?navigateSource=resultlist
74,Spadinalaan 5 1031 KB Amsterdam,148.0,750.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40000487-spadinalaan-5/?navigateSource=resultlist
75,Kanaalstraat 127 II 1054 XD Amsterdam,47.0,350.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40009218-kanaalstraat-127-ii/?navigateSource=resultlist
76,Albert Luthulistraat 3 B 1091 NP Amsterdam,44.0,265.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40008306-albert-luthulistraat-3-b/?navigateSource=resultlist
77,Jacques Veltmanstraat 72 -1 1065 EN Amsterdam,47.0,250.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40008955-jacques-veltmanstraat-72-1/?navigateSource=resultlist
78,Nieuwezijds Voorburgwal 20 E 1012 RZ Amsterdam,96.0,625.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40008768-nieuwezijds-voorburgwal-20-e/?navigateSource=resultlist
79,Leeuwendalersweg 5 A 1055 JE Amsterdam,101.0,450.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40007613-leeuwendalersweg-5-a/?navigateSource=resultlist
80,Winkler Prinshof 9 3 1065 XL Amsterdam,58.0,225.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40007445-winkler-prinshof-9-3/?navigateSource=resultlist
81,Ruimzicht 93 1068 CP Amsterdam,97.0,325.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40006033-ruimzicht-93/?navigateSource=resultlist
82,Willem de Zwijgerlaan 40 I 1056 JS Amsterdam,56.0,300.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40006976-willem-de-zwijgerlaan-40-i/?navigateSource=resultlist
83,Welnastraat 289 1096 GJ Amsterdam,28.0,199.0,1.0,https://www.funda.nl/en/koop/amsterdam/appartement-40006752-welnastraat-289/?navigateSource=resultlist
84,Haarlemmerweg 225 /A 1051 NV Amsterdam,80.0,450.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40093137-haarlemmerweg-225-a/?navigateSource=resultlist
85,Plantage Middenlaan 76 III 1018 DJ Amsterdam,153.0,959.0,5.0,https://www.funda.nl/en/koop/amsterdam/appartement-40093163-plantage-middenlaan-76-iii/?navigateSource=resultlist
86,Hoofdweg 626 1055 AB Amsterdam,95.0,500.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40092850-hoofdweg-626/?navigateSource=resultlist
